title,year,runtime,director,cast,description,url
멋진 인생,1946,2h 10m,Frank Capra,"Frank Capra, Frances Goodrich, Albert Hackett, Frank Capra, James Stewart",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,https://www.imdb.com/title/tt0038650/?ref_=chttp_t_21
7인의 사무라이,1954,3h 27m,Akira Kurosawa,"Akira Kurosawa, Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni, Toshirô Mifune","Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",https://www.imdb.com/title/tt0047478/?ref_=chttp_t_22
양들의 침묵,1991,1h 58m,Jonathan Demme,"Jonathan Demme, Thomas Harris, Ted Tally, Jodie Foster, Anthony Hopkins","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",https://www.imdb.com/title/tt0102926/?ref_=chttp_t_23
라이언 일병 구하기,1998,2h 49m,Steven Spielberg,"Steven Spielberg, Robert Rodat, Tom Hanks, Matt Damon, Tom Sizemore","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",https://www.imdb.com/title/tt0120815/?ref_=chttp_t_24
시티 오브 갓,2002,2h 10m,Fernando Meirelles,"Fernando Meirelles, Kátia Lund, Bráulio Mantovani, Paulo Lins, Alexandre Rodrigues","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",https://www.imdb.com/title/tt0317248/?ref_=chttp_t_25
그린 마일,1999,3h 9m,Frank Darabont,"Frank Darabont, Stephen King, Frank Darabont, Tom Hanks, Michael Clarke Duncan","Paul Edgecomb, the head guard of a prison, meets an inmate, John Coffey, a black man who is accused of murdering two girls. His life changes drastically when he discovers that John has a spe... Read all",https://www.imdb.com/title/tt0120689/?ref_=chttp_t_26
La vita è bella,1997,1h 56m,Roberto Benigni,"Roberto Benigni, Vincenzo Cerami, Roberto Benigni, Roberto Benigni, Nicoletta Braschi","When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",https://www.imdb.com/title/tt0118799/?ref_=chttp_t_27
Teomineiteo 2,1991,2h 17m,James Cameron,"James Cameron, James Cameron, William Wisher, Arnold Schwarzenegger, Linda Hamilton","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",https://www.imdb.com/title/tt0103064/?ref_=chttp_t_28
Star Wars,1977,2h 1m,George Lucas,"George Lucas, George Lucas, Mark Hamill, Harrison Ford, Carrie Fisher","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue ... Read all",https://www.imdb.com/title/tt0076759/?ref_=chttp_t_29
빽 투 더 퓨쳐,1985,1h 56m,Robert Zemeckis,"Robert Zemeckis, Robert Zemeckis, Bob Gale, Michael J. Fox, Christopher Lloyd","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",https://www.imdb.com/title/tt0088763/?ref_=chttp_t_30
